物性,機能,combined,result
層厚み,酸素輸送抵抗の低減,"1. 物性: 層厚み
2. 機能: 酸素輸送抵抗の低減","{
  ""concerns"": [
    {
      ""concern_content"": ""層構造の過剰な圧縮・塑性変形"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・炭素繊維基材"",
      ""mechanism"": ""MEA組立や作動時の締結圧・セル圧による応力集中で、GDLや撥水層に塑性変形ないしせん断変形が生じ、設計層厚が減少。細孔構造がつぶれ、ガス拡散経路が減少/長大化する。"",
      ""affected_parameters"": ""GDL層厚みの減少、細孔径分布の変化、空隙率減少"",
      ""affected_function"": ""酸素の生存経路減少による拡散抵抗上昇""
    },
    {
      ""concern_content"": ""加湿過多や生成水滞留による細孔内の閉塞"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・細孔内部"",
      ""mechanism"": ""多湿運転や生成水管理不良時、GDLやMPLの細孔空間に液相水が過剰に滞留し、酸素ガス経路が局部的に遮断・細る。細孔の閉塞により実質的な有効層厚が減少する。"",
      ""affected_parameters"": ""有効な細孔面積・有効層厚の減少"",
      ""affected_function"": ""酸素拡散経路の狭窄化による酸素輸送抵抗増大""
    },
    {
      ""concern_content"": ""ガス流路下のGDL層厚バラツキ・部分的減肉"",
      ""location"": ""2. 部材間界面 ＞ GDL / セパレータ 界面・流路下領域"",
      ""mechanism"": ""加圧や長期運転、着座不良・振動により、GDL層厚がセル面内で不均一となり、特にリブ領域で層厚の減少（減肉）が起きる。部分的にガス流動分布が偏ることで、酸素輸送経路のバラツキが顕在化。"",
      ""affected_parameters"": ""面内GDL層厚均一性の悪化・最小層厚減少"",
      ""affected_function"": ""酸素供給の局部阻害（酸素濃度分布ムラ）による局所拡散抵抗の上昇""
    }
  ]
}"
細孔容積・構造,酸素輸送抵抗の低減,"1. 物性: 細孔容積・構造
2. 機能: 酸素輸送抵抗の低減","{
  ""concerns"": [
    {
      ""concern_content"": ""細孔閉塞（細孔容積の減少・径の縮小）"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・細孔内部"",
      ""mechanism"": ""長期運転時の生成水・湿気、または有機・無機物質の析出により、ガス拡散層（GDL）細孔内に生成物が堆積・詰まり、細孔径や容積が物理的に減少する。分子スケールでは水分子や析出粒子が細孔構造を埋めることで、ガスの輸送経路が遮断・狭窄される。"",
      ""affected_parameters"": ""細孔容積・細孔径の減少、ガス拡散係数の低下"",
      ""affected_function"": ""酸素透過性低下による酸素輸送抵抗の増大""
    },
    {
      ""concern_content"": ""細孔構造改変（細孔の連続性・分布の異常）"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・炭素繊維基材"",
      ""mechanism"": ""起動停止などの熱サイクルや加湿・乾燥環境の繰り返しにより、GDL炭素繊維同士の接合部に微細な移動・塑性変形・繊維自体の破断が発生し、細孔ネットワークの連続性が崩れ、連通細孔が途切れやすくなる。これにより酸素分子の拡散経路が複雑化・長大化する。"",
      ""affected_parameters"": ""細孔ネットワークの連続性低下、トータル輸送経路長の増加"",
      ""affected_function"": ""酸素輸送抵抗の増大""
    },
    {
      ""concern_content"": ""撥水層の親水化（細孔内壁の表面エネルギー変化）"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・撥水層/MPL"",
      ""mechanism"": ""高電位動作やラジカル発生により、撥水層（PTFEなど）が酸化劣化し、撥水性基（-CF2-など）が脱離、親水性官能基（-COOH等）が導入され、細孔内壁が親水化する。これにより液水が保持・滞留しやすくなり、細孔内のガス経路が水で塞がれやすくなる。"",
      ""affected_parameters"": ""接触角の低下、細孔内液水分率の増加"",
      ""affected_function"": ""酸素輸送の実効断面積減少→輸送抵抗増大""
    }
  ]
}"
細孔容積・構造,フラッディング耐性,"1. 物性: 細孔容積・構造
2. 機能: フラッディング耐性","{
  ""concerns"": [
    {
      ""concern_content"": ""細孔閉塞（ポア閉塞）：細孔内部に液相水が滞留または析出し、本来のガス拡散経路が物理的に狭窄/遮断される状態"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・細孔内部"",
      ""mechanism"": ""運転中の高湿度負荷時に、細孔サイズ分布が微細化（親水化や加圧応力による微細孔化）あるいは細孔表面への析出・付着物増加により、毛細管圧のバランスが崩れ液水が排出されにくくなる。これによりガス流通路としての細孔が水で塞がれ、気体拡散係数が顕著に低下する。"",
      ""affected_parameters"": ""細孔径・細孔容積の有効値が減少し、ガス透過率が大幅に減少（設計仕様：細孔径中央値・細孔容積mL/g・ガス透過率等）"",
      ""affected_function"": ""反応ガス供給機能／液水排出機能（＝フラッディング耐性）""
    },
    {
      ""concern_content"": ""撥水性低下：微細孔壁面の表面エネルギー変化により液水の保持・排出挙動が変化する状態"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・撥水層/MPL"",
      ""mechanism"": ""高温多湿環境や電位変動下において、PTFE等の撥水剤が脱落・分解・劣化することで表面が親水化。水との接触角が低下し、壁面に水が親和的に付着→細孔内で水が長時間滞留しやすくなる。"",
      ""affected_parameters"": ""表面接触角が減少（設計仕様：初期接触角＞○°）、毛細管圧分布値（capillary pressure）変動"",
      ""affected_function"": ""反応ガス透過／水排出経路維持機能（＝フラッディング耐性）""
    },
    {
      ""concern_content"": ""構造圧密・変形：ガス拡散層細孔ネットワークが外部圧力や加圧取り付けによって圧密し、細孔体積が不可逆的に減少する現象"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・炭素繊維基材"",
      ""mechanism"": ""スタック締結荷重や運転中の温度サイクル（熱膨張/収縮）によってGDL内部の炭素繊維マトリックスが圧縮変形。これにより細孔径縮小、経路の途絶が生じ気相拡散路が狭窄。二次的に液溜り（ウォーターポケット）部位が形成されやすくなる。"",
      ""affected_parameters"": ""体積密度・細孔体積分率が増加／無効ガスポケット率の増加"",
      ""affected_function"": ""ガス供給均一性／液水排出維持（＝フラッディング耐性）""
    }
  ]
}"
空隙率,酸素輸送抵抗の低減,"1. 物性: 空隙率
2. 機能: 酸素輸送抵抗の低減","{
  ""concerns"": [
    {
      ""concern_content"": ""細孔閉塞（空隙の充填・詰まり）"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・細孔内部"",
      ""mechanism"": ""ガス拡散層（GDL）や触媒層の細孔部位で、水分凝縮あるいは生成物による析出が起きることで、設計上確保すべき空隙（細孔）が占有される。これにより通気路が狭くなり、酸素輸送パスの連続性が損なわれる。湿度サイクルやドライ／ウェット繰返し、二次生成物の析出によって不可逆的な閉塞が進行。"",
      ""affected_parameters"": ""空隙率が減少（％減）、細孔径の平均値が設計値以下に低下"",
      ""affected_function"": ""酸素輸送抵抗の増大（O2拡散遅延）（定格出力時の酸素供給性能不全）""
    },
    {
      ""concern_content"": ""細孔構造の崩壊・変形（細孔径分布の偏り）"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・炭素繊維基材"",
      ""mechanism"": ""高圧縮荷重やスタック締結応力、長期的な応力集中、または化学的腐食（酸化）によって、炭素繊維基材や細孔構造自体が不可逆的に塑性変形あるいは破壊される。これにより大径細孔の減少や細孔塞ぎが生じる。"",
      ""affected_parameters"": ""空隙率が時間経過とともに低下、空隙連通度悪化"",
      ""affected_function"": ""酸素輸送抵抗の増大・不均一化（セル反応分布の偏り）""
    },
    {
      ""concern_content"": ""カーボン担体の腐食による微細空隙の消失"",
      ""location"": ""1. セル内部・微細構造層 ＞ 触媒層・カーボン担体"",
      ""mechanism"": ""高電位バイアスや自己呼吸モード、スタートアップ／シャットダウン時の急峻な電位変動下でカーボン担体が酸化し、微細空隙が消失、骨格自体が収縮・崩壊。触媒層のガス拡散パスが減少する。"",
      ""affected_parameters"": ""空隙率の減少、比表面積の減少"",
      ""affected_function"": ""酸素輸送抵抗増大および利用率低下""
    }
  ]
}"
空隙率,フラッディング耐性,"1. 物性: 空隙率
2. 機能: フラッディング耐性","{
  ""concerns"": [
    {
      ""concern_content"": ""細孔閉塞（空隙率の局所的減少・目詰まり）"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・細孔内部"",
      ""mechanism"": ""高湿度環境下での水生成や吸湿により、ガス拡散層の細孔内に液水が蓄積。さらに液水が排出されずに滞留すると、カーボン繊維間隙や撥水層内で閉塞が生じ、空隙率が低下する（毛細管凝集または界面張力依存の液体ブロッキング）。その結果、ガスや水の輸送経路が奪われる。"",
      ""affected_parameters"": ""空隙率（％）、細孔径分布（μm）、通気抵抗（増大）"",
      ""affected_function"": ""フラッディング耐性（ガス輸送機能低下、電極利用率低下）""
    },
    {
      ""concern_content"": ""撥水層の浸潤（親水化進行）"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・撥水層/MPL"",
      ""mechanism"": ""高温多湿・長時間運転下でPTFE等の撥水材が分解・流亡あるいは加水分解を受け、撥水性が失われる。これによりガス拡散層表面が親水化し、水の付着性が高まり、細孔に水が容易に浸入・閉塞しやすくなる。"",
      ""affected_parameters"": ""表面接触角（減少）・空隙率（局所減少）"",
      ""affected_function"": ""フラッディング耐性（ガス輸送、排水性の低下）""
    },
    {
      ""concern_content"": ""アイオノマー分布の偏在・析出（細孔内フィリング）"",
      ""location"": ""1. セル内部・微細構造層 ＞ 触媒層・アイオノマーネットワーク"",
      ""mechanism"": ""アイオノマーが過剰に局在した場合や経時変化で析出・移動した場合に、触媒層やGDL細孔内に浸入して細孔部を埋める。これにより空隙率が低下し、ガス輸送経路が遮断される。"",
      ""affected_parameters"": ""空隙率（減少）、アイオノマー質量分率（増大）"",
      ""affected_function"": ""フラッディング耐性（ガス拡散・供給機能不全）""
    }
  ]
}"
空隙率,流路圧力損失の適正化,"1. 物性: 空隙率
2. 機能: 流路圧力損失の適正化","{
  ""concerns"": [
    {
      ""concern_content"": ""細孔閉塞（ポアブロッケージ）"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・細孔内部"",
      ""mechanism"": ""ガス拡散層（GDL）への液水の生成・浸入や生成物の析出に伴い、細孔内部の一部が液体や析出物で満たされることで空隙が失われ、ガス流路が物理的に閉塞する。これにより空隙率が局所的・全体的に減少する。"",
      ""affected_parameters"": ""空隙率（％）の減少、通気度の低下、局所圧力上昇"",
      ""affected_function"": ""流路圧力損失の増大、ガス供給不均一化による反応阻害""
    },
    {
      ""concern_content"": ""圧密変形（コンパクション）による空隙構造の破壊"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・炭素繊維基材"",
      ""mechanism"": ""スタック締結時などに加わる外部機械応力や熱サイクル（膨張・収縮）によって、炭素繊維ネットワークが塑性的あるいは弾塑性的に変形し、空隙構造が押しつぶされることで空隙率が低下する。"",
      ""affected_parameters"": ""ガス拡散層の空隙率（％）・厚みの減少、透過係数の低下"",
      ""affected_function"": ""流路圧力損失の増加、質量輸送の妨害""
    },
    {
      ""concern_content"": ""疎水層（MPL）の親水化（フッ素樹脂劣化）"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・撥水層/MPL"",
      ""mechanism"": ""高温・高湿・酸化環境下で撥水剤（PTFE等）が化学的に分解/劣化し、微細多孔体表面が親水化。水の浸入・保持が促進されて本来の空隙の効果的なガス移動が阻害される。"",
      ""affected_parameters"": ""接触角（撥水性）の減少、空隙内・表面の液保持量増加"",
      ""affected_function"": ""圧力損失の増加、局所局流の発生""
    },
    {
      ""concern_content"": ""セパレータ流路溝の固体析出（スケーリング）"",
      ""location"": ""3. セル構成部材 ＞ セパレータ流路・ガス流路溝"",
      ""mechanism"": ""冷却水や反応生成物中の不純物（シリカ、カルシウム等）が析出・堆積し、流路の一部が塞がれることで有効流断面が狭まり、空隙率が局所的に減少する。"",
      ""affected_parameters"": ""有効流路断面積の減少、圧力損失係数の増大"",
      ""affected_function"": ""圧力損失の増加、ガス/冷却流の偏流・停滞""
    }
  ]
}"
撥水性(PTFE),フラッディング耐性,"1. 物性: 撥水性(PTFE)
2. 機能: フラッディング耐性","{
  ""concerns"": [
    {
      ""concern_content"": ""撥水層の疎水性低下による浸潤領域の拡大（親水化）"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・撥水層/MPL"",
      ""mechanism"": ""フルオロポリマー（PTFE）中のフッ素官能基が、長期の高温・高湿・強酸化的なセル環境下で加水分解や酸化分解を受けて脱落し、分子全体が親水化へ転化。これにより表面エネルギーが増大し、液水が浸透しやすくなる。細孔構造への液体水の浸潤閾値が低下する。"",
      ""affected_parameters"": ""撥水層表面の接触角（低下）、表面自由エネルギー（上昇）、空隙率の局所充水率（増加）"",
      ""affected_function"": ""フラッディング耐性（ガス透過性の維持・水排出能）""
    },
    {
      ""concern_content"": ""細孔内PTFEの膨潤・流動による微細孔の閉塞（細孔閉塞）"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・細孔内部"",
      ""mechanism"": ""周期的なセル加湿変動や高温・圧力下でPTFEが溶融・移動し、微細孔内に再配置される。結果、ガス通流に寄与する連続細孔径が減少し、水分子・液体水が溜まりやすくなる。"",
      ""affected_parameters"": ""細孔径分布（平均径低下、閉塞孔割合増加）、ガス透過率（低下）、液水排出流量（低下）"",
      ""affected_function"": ""フラッディング耐性（ガス供給経路の維持）""
    },
    {
      ""concern_content"": ""PTFE分散不均一化による撥水層厚み局所減少（膜薄膜化・脱落）"",
      ""location"": ""1. セル内部・微細構造層 ＞ ガス拡散層・撥水層/MPL"",
      ""mechanism"": ""高加湿状態やガスフロー剪断応力、多孔質基材との界面剥離によってPTFE膜厚が局所的に減少・消失。局部的な疎水性能喪失に起因し局所水浸潤が発生、ガス阻害箇所となる。"",
      ""affected_parameters"": ""撥水層厚さ（局所的減少）、膜面積当たりのPTFE被覆率（低下）"",
      ""affected_function"": ""フラッディング耐性（均一な水排出性）""
    }
  ]
}"
材質(C/Ti),界面接触抵抗の低減,"1. 物性: 材質(C/Ti)
2. 機能: 界面接触抵抗の低減","{
  ""concerns"": [
    {
      ""concern_content"": ""表面酸化皮膜の増厚"",
      ""location"": ""3. セル構成部材 ＞ セパレータ・表面保護膜/処理層"",
      ""mechanism"": ""セル内で高湿度・高電位環境下、チタン（Ti）やカーボン（C）基材表面に自然発生的に酸化皮膜（TiO2や炭素の酸化物）が生成・成長する。これにより、電子のトンネル効果が阻害され、界面の電気伝導性が低下する。特に始動・停止時や高電位印加時に加速される。"",
      ""affected_parameters"": ""界面接触抵抗値（増加）、表面酸化膜厚（増加）"",
      ""affected_function"": ""界面接触抵抗の低減（機能不全：目標値を上回る接触抵抗）""
    },
    {
      ""concern_content"": ""接触部の弾塑性変形／マイクロクラックの発生"",
      ""location"": ""3. セル構成部材 ＞ セパレータ・基材内部"",
      ""mechanism"": ""締結応力や堆積応力により、金属/カーボンセパレータの表層～内部に微小な弾塑性変形やクラックが発生。これによりマイクロコンタクトの面積が減少し、接触抵抗が局所的に増加しやすくなる。湿潤状態では腐食とも連動。"",
      ""affected_parameters"": ""表面粗さパラメータ（増加）、マイクロ接触面積（減少）"",
      ""affected_function"": ""界面接触抵抗の低減（接触面積減少による局所抵抗増大）""
    },
    {
      ""concern_content"": ""界面の微視的な剥離／空隙（ボイド）形成"",
      ""location"": ""2. 部材間界面 ＞ GDL／セパレータ界面・接触点"",
      ""mechanism"": ""繰返し熱応力やセル発熱・乾湿サイクルにより、界面にボイドや剥離が発生。粘着力や機械的密着性が低下し、電子の流れるパスが限定される。C/Ti材料の熱膨張差も影響する。"",
      ""affected_parameters"": ""界面空隙率（増加）、接触率（減少）"",
      ""affected_function"": ""界面接触抵抗の低減（局所空隙による伝導経路途絶/抵抗増大）""
    }
  ]
}"
材質(C/Ti),部材バルク抵抗の低減,"1. 物性: 材質(C/Ti)
2. 機能: 部材バルク抵抗の低減","{
  ""concerns"": [
    {
      ""concern_content"": ""酸化皮膜の生成・成長（酸化チタン層の厚膜化）"",
      ""location"": ""3. セパレータ ＞ 基材内部"",
      ""mechanism"": ""セル動作下の高温・高湿・強酸性雰囲気、およびセル電位の繰返しによりTitanium基材表面で酸化反応が進行し、TiO2等の絶縁性酸化皮膜が厚く生成される。酸化皮膜の成長により、部材表面から内部への電子移動が阻害される。"",
      ""affected_parameters"": ""バルク抵抗値（Ωcm）が増大"",
      ""affected_function"": ""セル部材の通電機能、バルク抵抗の低減""
    },
    {
      ""concern_content"": ""炭素材料のミクロ構造変化（粒界での亀裂・空孔発生）"",
      ""location"": ""3. セパレータ ＞ 基材内部"",
      ""mechanism"": ""高電位・高温・酸化環境下で炭素が電気化学的に腐食・消失し、粒界や結晶境界に細孔・マイクロクラックが発生。伝導経路の連続性が失われ、電子移動効率が低下する。"",
      ""affected_parameters"": ""電気伝導率（S/cm）の低下、体積抵抗増大"",
      ""affected_function"": ""セル部材の通電機能、バルク抵抗の低減""
    }
  ]
}"
材質(C/Ti),触媒担体腐食の抑制,"1. 物性: 材質(C/Ti)
2. 機能: 触媒担体腐食の抑制","{
  ""concerns"": [
    {
      ""concern_content"": ""カーボン担体の腐食孔・構造消失（ボイド形成、空隙拡大、骨格崩壊）"",
      ""location"": ""1. セル内部・微細構造層 ＞ 触媒層・カーボン担体"",
      ""mechanism"": ""高電位運転や起動・停止時の電位揺動により、触媒層内のカーボン担体が酸化反応（C + 2H2O → CO2 + 4H+ + 4e−）を受ける。特に高湿度・高電位状態下やガス欠時に、カーボンの分子骨格が選択的に攻撃され、カーボンネットワーク内に孔（ボイド）が発生し、内部構造が崩壊する。これは、カーボン材では酸素化・焼失過程、Ti担体では不可逆的な劣化は起こりにくい。"",
      ""affected_parameters"": ""担体含有率の低下、細孔径の拡大、比表面積の減少"",
      ""affected_function"": ""触媒活性面積の減少・ガス拡散性低下""
    },
    {
      ""concern_content"": ""カーボン担体と白金粒子の剥離・触媒層表面の荒れ（Pt粒子のシンタリングや担体からの遊離）"",
      ""location"": ""1. セル内部・微細構造層 ＞ 触媒層・カーボン担体"",
      ""mechanism"": ""カーボン担体が腐食・消失することで、担持されていた白金粒子が路面化、もしくは担体から遊離し、粒子径が増大（シンタリング）。Ti担体であれば金属－白金界面は安定するが、カーボンでは担体が失われて界面が不安定になり、局所的な白金粒子同士の再配列・粗大化が不可逆に進行する。"",
      ""affected_parameters"": ""白金粒径増大、担体-触媒界面積低下、Pt分布ムラ増大"",
      ""affected_function"": ""電極反応活性低下・セル電圧低下""
    }
  ]
}"
材質(C/Ti),積層荷重の保持,"1. 物性: 材質(C/Ti)
2. 機能: 積層荷重の保持","{
  ""concerns"": [
    {
      ""concern_content"": ""塑性変形（永久ひずみ発生）"",
      ""location"": ""3. セル構成部材 ＞ セパレータ・基材内部"",
      ""mechanism"": ""繰返し起動停止や締結力の経時変化による応力集中が、C/Ti材質の降伏強度を超えて分子配列のずれ（転位運動）を発生させ、不可逆的な塑性変形が起こる。特にC材はクリープや疲労、Ti材は応力腐食割れも関連。"",
      ""affected_parameters"": ""厚み低下・平坦度低下（変形量が増大）"",
      ""affected_function"": ""積層体圧の保持不全""
    },
    {
      ""concern_content"": ""界面剥離（層間剥離）"",
      ""location"": ""3. セル構成部材 ＞ セパレータ・表面保護膜/処理層"",
      ""mechanism"": ""Ti材やC材の熱膨張係数差や、セル内結露・ガス浸透による界面劣化で密着力が低下し、局所的な外力で層間に空隙が拡大。分子間引力や化学結合の切断による不可逆なリフトオフが発生。"",
      ""affected_parameters"": ""界面強度（せん断強度・引張強度の低下）"",
      ""affected_function"": ""伝荷性能・積層荷重の均一分布""
    },
    {
      ""concern_content"": ""マイクロクラック（微細亀裂進展）"",
      ""location"": ""3. セル構成部材 ＞ セパレータ・基材内部"",
      ""mechanism"": ""高荷重＋サイクル応力下でC/Ti材料の結晶粒界に局所応力集中、粒界すべりや転位蓄積、金属では疲労、炭素材では熱衝撃やガス注入による体積変化で内部に微小亀裂が逐次発生・進展。"",
      ""affected_parameters"": ""曲げ強度・破壊靭性（低下）"",
      ""affected_function"": ""セル積層体の長期的な締結安定性""
    }
  ]
}"
